id_review,review_text,relative_date,review_date,retrieval_date,rating,username,n_review_user,url_place,name_place
ChZDSUhNMG9nS0VJQ0FnTURvaXJXZFlREAE,"Buena universidad, el ingreso debe ser con permiso y como invitación de un alumno.",Editado Hace 2 meses,2025-06-07 09:26:03.625530,2025-08-06 09:26:03.625530,5,Andrea Gomez,15,"https://www.google.com/maps/place/Universidad+del+Pac%C3%ADfico/@-12.0835487,-77.0511725,17z/data=!4m10!1m2!2m1!1suniversidad+del+pac%C3%ADfico!3m6!1s0x9105c8f8e3ad6bf9:0x2f894cba5bc36a45!8m2!3d-12.0837969!4d-77.048806!15sChl1bml2ZXJzaWRhZCBkZWwgcGFjw61maWNvkgEScHJpdmF0ZV91bml2ZXJzaXR5qgFMCgkvbS8wNmdqODQQATIeEAEiGr_QCcNbfMneMbwvgklMis1SdwU5f-FeivSdMh0QAiIZdW5pdmVyc2lkYWQgZGVsIHBhY8OtZmljb-ABAA!16zL20vMDZnajg0?entry=ttu&g_ep=EgoyMDI1MDgwMy4wIKXMDSoASAFQAw%3D%3D",Universidad del Pacífico
ChZDSUhNMG9nS0VPNlIyUC1LcGZHSEpREAE,,Hace 2 meses,2025-06-07 09:26:03.625924,2025-08-06 09:26:03.625924,5,Emilio Pérez,161,"https://www.google.com/maps/place/Universidad+del+Pac%C3%ADfico/@-12.0835487,-77.0511725,17z/data=!4m10!1m2!2m1!1suniversidad+del+pac%C3%ADfico!3m6!1s0x9105c8f8e3ad6bf9:0x2f894cba5bc36a45!8m2!3d-12.0837969!4d-77.048806!15sChl1bml2ZXJzaWRhZCBkZWwgcGFjw61maWNvkgEScHJpdmF0ZV91bml2ZXJzaXR5qgFMCgkvbS8wNmdqODQQATIeEAEiGr_QCcNbfMneMbwvgklMis1SdwU5f-FeivSdMh0QAiIZdW5pdmVyc2lkYWQgZGVsIHBhY8OtZmljb-ABAA!16zL20vMDZnajg0?entry=ttu&g_ep=EgoyMDI1MDgwMy4wIKXMDSoASAFQAw%3D%3D",Universidad del Pacífico
ChZDSUhNMG9nS0VJQ0FnTUNJbU02VVd3EAE,Muy buena uni aunque algo clasistas,Hace 4 meses,2025-04-08 09:26:03.626329,2025-08-06 09:26:03.626329,5,Walter Xd,0,"https://www.google.com/maps/place/Universidad+del+Pac%C3%ADfico/@-12.0835487,-77.0511725,17z/data=!4m10!1m2!2m1!1suniversidad+del+pac%C3%ADfico!3m6!1s0x9105c8f8e3ad6bf9:0x2f894cba5bc36a45!8m2!3d-12.0837969!4d-77.048806!15sChl1bml2ZXJzaWRhZCBkZWwgcGFjw61maWNvkgEScHJpdmF0ZV91bml2ZXJzaXR5qgFMCgkvbS8wNmdqODQQATIeEAEiGr_QCcNbfMneMbwvgklMis1SdwU5f-FeivSdMh0QAiIZdW5pdmVyc2lkYWQgZGVsIHBhY8OtZmljb-ABAA!16zL20vMDZnajg0?entry=ttu&g_ep=EgoyMDI1MDgwMy4wIKXMDSoASAFQAw%3D%3D",Universidad del Pacífico
ChdDSUhNMG9nS0VJQ0FnTUR3LWZmdzhRRRAB,Estudiantes inteligentes. Se asemeja a una universidad estadounidense.,Hace 4 meses,2025-04-08 09:26:03.626727,2025-08-06 09:26:03.626727,5,Andrew Garcia,2,"https://www.google.com/maps/place/Universidad+del+Pac%C3%ADfico/@-12.0835487,-77.0511725,17z/data=!4m10!1m2!2m1!1suniversidad+del+pac%C3%ADfico!3m6!1s0x9105c8f8e3ad6bf9:0x2f894cba5bc36a45!8m2!3d-12.0837969!4d-77.048806!15sChl1bml2ZXJzaWRhZCBkZWwgcGFjw61maWNvkgEScHJpdmF0ZV91bml2ZXJzaXR5qgFMCgkvbS8wNmdqODQQATIeEAEiGr_QCcNbfMneMbwvgklMis1SdwU5f-FeivSdMh0QAiIZdW5pdmVyc2lkYWQgZGVsIHBhY8OtZmljb-ABAA!16zL20vMDZnajg0?entry=ttu&g_ep=EgoyMDI1MDgwMy4wIKXMDSoASAFQAw%3D%3D",Universidad del Pacífico
ChdDSUhNMG9nS0VJQ0FnTUR3LUwtenp3RRAB,Muy buena universidad la recomiendo,Hace 4 meses,2025-04-08 09:26:03.627110,2025-08-06 09:26:03.627110,5,Selene Salaverry usquiano,0,"https://www.google.com/maps/place/Universidad+del+Pac%C3%ADfico/@-12.0835487,-77.0511725,17z/data=!4m10!1m2!2m1!1suniversidad+del+pac%C3%ADfico!3m6!1s0x9105c8f8e3ad6bf9:0x2f894cba5bc36a45!8m2!3d-12.0837969!4d-77.048806!15sChl1bml2ZXJzaWRhZCBkZWwgcGFjw61maWNvkgEScHJpdmF0ZV91bml2ZXJzaXR5qgFMCgkvbS8wNmdqODQQATIeEAEiGr_QCcNbfMneMbwvgklMis1SdwU5f-FeivSdMh0QAiIZdW5pdmVyc2lkYWQgZGVsIHBhY8OtZmljb-ABAA!16zL20vMDZnajg0?entry=ttu&g_ep=EgoyMDI1MDgwMy4wIKXMDSoASAFQAw%3D%3D",Universidad del Pacífico
ChdDSUhNMG9nS0VJQ0FnTUNRLU9Pc29BRRAB,,Hace 5 meses,2025-03-09 09:26:03.627600,2025-08-06 09:26:03.627600,5,Aaron Balcazar Santa Cruz,25,"https://www.google.com/maps/place/Universidad+del+Pac%C3%ADfico/@-12.0835487,-77.0511725,17z/data=!4m10!1m2!2m1!1suniversidad+del+pac%C3%ADfico!3m6!1s0x9105c8f8e3ad6bf9:0x2f894cba5bc36a45!8m2!3d-12.0837969!4d-77.048806!15sChl1bml2ZXJzaWRhZCBkZWwgcGFjw61maWNvkgEScHJpdmF0ZV91bml2ZXJzaXR5qgFMCgkvbS8wNmdqODQQATIeEAEiGr_QCcNbfMneMbwvgklMis1SdwU5f-FeivSdMh0QAiIZdW5pdmVyc2lkYWQgZGVsIHBhY8OtZmljb-ABAA!16zL20vMDZnajg0?entry=ttu&g_ep=EgoyMDI1MDgwMy4wIKXMDSoASAFQAw%3D%3D",Universidad del Pacífico
ChZDSUhNMG9nS0VJQ0FnTUNBdU5LeklREAE,Innovador e interesante,Hace 6 meses,2025-02-07 09:26:03.627966,2025-08-06 09:26:03.627966,5,Khatryn Nadejda,159,"https://www.google.com/maps/place/Universidad+del+Pac%C3%ADfico/@-12.0835487,-77.0511725,17z/data=!4m10!1m2!2m1!1suniversidad+del+pac%C3%ADfico!3m6!1s0x9105c8f8e3ad6bf9:0x2f894cba5bc36a45!8m2!3d-12.0837969!4d-77.048806!15sChl1bml2ZXJzaWRhZCBkZWwgcGFjw61maWNvkgEScHJpdmF0ZV91bml2ZXJzaXR5qgFMCgkvbS8wNmdqODQQATIeEAEiGr_QCcNbfMneMbwvgklMis1SdwU5f-FeivSdMh0QAiIZdW5pdmVyc2lkYWQgZGVsIHBhY8OtZmljb-ABAA!16zL20vMDZnajg0?entry=ttu&g_ep=EgoyMDI1MDgwMy4wIKXMDSoASAFQAw%3D%3D",Universidad del Pacífico
ChdDSUhNMG9nS0VJQ0FnSURmcGUzcjZnRRAB,,Hace 6 meses,2025-02-07 09:26:03.628331,2025-08-06 09:26:03.628331,5,Judy Huamán,0,"https://www.google.com/maps/place/Universidad+del+Pac%C3%ADfico/@-12.0835487,-77.0511725,17z/data=!4m10!1m2!2m1!1suniversidad+del+pac%C3%ADfico!3m6!1s0x9105c8f8e3ad6bf9:0x2f894cba5bc36a45!8m2!3d-12.0837969!4d-77.048806!15sChl1bml2ZXJzaWRhZCBkZWwgcGFjw61maWNvkgEScHJpdmF0ZV91bml2ZXJzaXR5qgFMCgkvbS8wNmdqODQQATIeEAEiGr_QCcNbfMneMbwvgklMis1SdwU5f-FeivSdMh0QAiIZdW5pdmVyc2lkYWQgZGVsIHBhY8OtZmljb-ABAA!16zL20vMDZnajg0?entry=ttu&g_ep=EgoyMDI1MDgwMy4wIKXMDSoASAFQAw%3D%3D",Universidad del Pacífico
ChZDSUhNMG9nS0VJQ0FnSURQNk4tWmJnEAE,Excelente ambiente por fuera y por dentro,Hace 8 meses,2024-12-09 09:26:03.628769,2025-08-06 09:26:03.628769,5,giancarlo aguilar requena,0,"https://www.google.com/maps/place/Universidad+del+Pac%C3%ADfico/@-12.0835487,-77.0511725,17z/data=!4m10!1m2!2m1!1suniversidad+del+pac%C3%ADfico!3m6!1s0x9105c8f8e3ad6bf9:0x2f894cba5bc36a45!8m2!3d-12.0837969!4d-77.048806!15sChl1bml2ZXJzaWRhZCBkZWwgcGFjw61maWNvkgEScHJpdmF0ZV91bml2ZXJzaXR5qgFMCgkvbS8wNmdqODQQATIeEAEiGr_QCcNbfMneMbwvgklMis1SdwU5f-FeivSdMh0QAiIZdW5pdmVyc2lkYWQgZGVsIHBhY8OtZmljb-ABAA!16zL20vMDZnajg0?entry=ttu&g_ep=EgoyMDI1MDgwMy4wIKXMDSoASAFQAw%3D%3D",Universidad del Pacífico
ChdDSUhNMG9nS0VJQ0FnSUQzZ3VfYnJBRRAB,,Hace 8 meses,2024-12-09 09:26:03.629150,2025-08-06 09:26:03.629150,5,Samuel Torres Gonzalez,155,"https://www.google.com/maps/place/Universidad+del+Pac%C3%ADfico/@-12.0835487,-77.0511725,17z/data=!4m10!1m2!2m1!1suniversidad+del+pac%C3%ADfico!3m6!1s0x9105c8f8e3ad6bf9:0x2f894cba5bc36a45!8m2!3d-12.0837969!4d-77.048806!15sChl1bml2ZXJzaWRhZCBkZWwgcGFjw61maWNvkgEScHJpdmF0ZV91bml2ZXJzaXR5qgFMCgkvbS8wNmdqODQQATIeEAEiGr_QCcNbfMneMbwvgklMis1SdwU5f-FeivSdMh0QAiIZdW5pdmVyc2lkYWQgZGVsIHBhY8OtZmljb-ABAA!16zL20vMDZnajg0?entry=ttu&g_ep=EgoyMDI1MDgwMy4wIKXMDSoASAFQAw%3D%3D",Universidad del Pacífico
