review_text

Buena universidad aunque con lo de la beca 18 se ha llenado de mucho chiquillo que todavía cree que está en su cono.  Hace tiempo digo que esa beca debería desaparecer porque no focaliza bien a los chicos que de verdad se esfuerzan
Excelente infraestructura
Buena universidad de negocios
Excelentes instalaciones!! Los accesos son muy cómodos y fáciles, los guardas son muy amables y prestos a ayudar a los transeúntes para cruzar la calle y lo que se necesite. El grado de preparación y conocimiento de los profesores es muy alto, siendo muy amables a la vez.
Atentos agradable ambiente Y las mensualidad es favorable
Buena universidad, el ingreso debe ser con permiso y como invitación de un alumno.
Muy buena uni aunque algo clasistas
Estudiantes inteligentes. Se asemeja a una universidad estadounidense.
Muy buena universidad la recomiendo
Innovador e interesante
Excelente ambiente por fuera y por dentro
La mejor universidad del país.
👍👍👍👍Excelente…
Muy bonito
Excelente curso de cobranza.
Cuenta con instalaciones de buena infraestructura pero recomendaría el aumento del espacio con el que cuentan. Sé que es complicado pero como consejo vale la pena mencionarlo.
La mejor universidad en negocios
es bueno
Los ambientes tanto de estudio y de conferencia son realmente de lo que uno espera
👏…
La UP es una de las universidades líderes en Perú en economía y negocios.
Es una completa basura tanto como a educación, infraestructura estructura, baños, y personas que dan asco
Se les exige que expulsen a la estudiante schadenfreude que con su actitud embarra a todos incluyendo la reputación de la universidad, una persona así es nociva
Nunca contestan los teléfonos.
Excelente centro de estudios superiores
Profesores con gran experiencia, y metodología de enseñar
Estoy muy incómoda de que me envíen tantos correos con publicidad de programas que no solicité. He intentado darlo de baja, pero no hace ningún efecto. Continúan enviando correos que ni siquiera son de mi interés. Es bastante molesto, desde el 2018 no paran.
Bien
El mejor lugar la universidad.
Bonita universidad…
La universidad se siente muy segura y hogareña, perfecta para el curso que estoy estudiando con la granja en el lugar.
lindo
Excelente
muy recomendable
Muy bien
Una de las Universidades más prestigiosas de toda América Latina. Es un privilegio estudiar allí.
Una universidad fantástica. El personal es muy bueno.
La mejor universidad
Vistas espectaculares y un gran lugar para aprender.
Un lugar increíble
Una de las Universidades más prestigiosas de toda América Latina.
gran universidad
Infraestructura de calidad igual que la enseñanza
Visité las instalaciones y sin duda tienen una infraestructura a la vanguardia con todo lo necesario para una gran educación.
Casa de Gallardo
muy buen nivel educativo
Tiene de todo presencia calidad en todosu personal bien calificado y respetuoso ....alma Mater un ejemplo.
Perfecto lugar para estudiar, excelente infraestructura y seguridad.
Moderna Infraestructura y siempre amables. Sigan liderando.
Calidad y excelencia predominan a esta universidad
Bien aceptable
Muy linda universidad.
Instalaciones suficientes pero pequeñas, los profes son super buenos pero el sistema educativo no es muy inovador
Es y siempre será mi alma mater.
Precioso  💖…
Llamé a la central por informes, luego de una larga espera me atiende una señorita; me pone en espera  y me cansé
Muy bonito 😍…
Soy estudiante y me encanta la universidad, a pesar de que no están grande como otras
La zona tranquila en frente hay para comer, dentro del UP bonito,  ordenado, los de seguridad y todo el personal son muy amables, y toda la disponibilidad para ayudarte, yo fui al teatro a ver la jirafa alegría y tristeza,  excelente obra.
Calidad de Educación Universitaria
Excelente lugar hermosa infraestructura
Lugar donde se respetan todos los protocolos de seguridad!
Moderna y académica
No está mal. Buena u, profes de lujo pero muy chiquita y para cualquier que no sea estudio falta mejorar. Estudiar en la propia universidad es difícil.
Excelente infraestructura pero debe mejorar la atención de los egresados cuando vamos a realizar gestiones relacionadas con la tesis.
La mejor universidad para estudiar carreras de negocios en Lima. Excelentes profesores y oportunidades laborales.
Es un excelente auditorio, muy cómodo y organizado
Muy bonita
Estuvimos en el auditorio del sótano para una obra de teatro. Todo bien, el ambiente, la atención y demás :)
La sala de teatro es magnífica.
Me encanta, un gran lugar para hacer lo mejor que puedas y apuntar alto.
Tiene una infraestructura moderna y bien complementada, pero lamentablemente no cuenta con muchas áreas verdes.
Universidad del Pacífico excelente  educación en administración.economia y carreras afines
Todo muy bien ordenado y limpio. Se ve a los alumnos muy motivados. Ejemplo a seguir
Muy buena.
🤗…
Momentáneamente cerrada
Espectacular
Muy caviar. Como siempre.
Bien...
Algunos profesores tratan a los estudiantes de manera realmente injusta. Pedir comentarios se considera una ofensa personal y se burla de él. La universidad no tiene en cuenta la opinión de los estudiantes sino que simplemente se pone del lado de los profesores. Sin embargo sólo se aplica a algunos, otros estaban haciendo un gran trabajo.
Exelente...
Se extraña...
Excelente muy moderna
Muy buena la atencion
Ubicación estratégica
Excelente!!!
Una de las mejores universidades en el Perú, excelente calidad de los profesores, y sus instalaciones de buen nivel👍😎…
Buena
Cómoda sala de teatro. Atención y cordialidad en la recepción. Cuenta con estacionamiento, precios accesibles.
